county,candidate,votes
Chautauqua,Donald J. Trump,99
Chautauqua,Jo Jorgensen,0
Chautauqua,Joseph R. Biden,6
Chautauqua,Donald J. Trump,30
Chautauqua,Jo Jorgensen,0
Chautauqua,Joseph R. Biden,7
Chautauqua,Donald J. Trump,43
Chautauqua,Jo Jorgensen,1
Chautauqua,Joseph R. Biden,37
Chautauqua,Donald J. Trump,201
Chautauqua,Jo Jorgensen,2
Chautauqua,Joseph R. Biden,0
Chautauqua,Donald J. Trump,26
Chautauqua,Jo Jorgensen,1
Chautauqua,Joseph R. Biden,15
Chautauqua,Donald J. Trump,143
Chautauqua,Jo Jorgensen,0
Chautauqua,Joseph R. Biden,68
Chautauqua,Donald J. Trump,261
Chautauqua,Jo Jorgensen,13
Chautauqua,Joseph R. Biden,12
Chautauqua,Donald J. Trump,135
Chautauqua,Jo Jorgensen,3
Chautauqua,Joseph R. Biden,6
Chautauqua,Donald J. Trump,62
Chautauqua,Jo Jorgensen,3
Chautauqua,Joseph R. Biden,34
Chautauqua,Donald J. Trump,220
Chautauqua,Jo Jorgensen,1
Chautauqua,Joseph R. Biden,5
Chautauqua,Donald J. Trump,49
Chautauqua,Jo Jorgensen,0
Chautauqua,Joseph R. Biden,2
Chautauqua,Donald J. Trump,47
Chautauqua,Jo Jorgensen,0
Cherokee,Joseph R. Biden,85
Cherokee,Donald J. Trump,238
Cherokee,Jo Jorgensen,7
Cherokee,Joseph R. Biden,68
Cherokee,Donald J. Trump,194
Cherokee,Jo Jorgensen,10
Cherokee,Joseph R. Biden,169
Cherokee,Donald J. Trump,453
Cherokee,Jo Jorgensen,11
Cherokee,Joseph R. Biden,89
Cherokee,Donald J. Trump,252
Cherokee,Jo Jorgensen,3
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,65
Cherokee,Donald J. Trump,120
Cherokee,Jo Jorgensen,5
Cherokee,Joseph R. Biden,54
Cherokee,Donald J. Trump,154
Cherokee,Jo Jorgensen,3
Cherokee,Joseph R. Biden,98
Cherokee,Donald J. Trump,241
Cherokee,Jo Jorgensen,13
Cherokee,Joseph R. Biden,79
Cherokee,Donald J. Trump,191
Cherokee,Jo Jorgensen,6
Cherokee,Joseph R. Biden,70
Cherokee,Donald J. Trump,167
Cherokee,Jo Jorgensen,6
Cherokee,Joseph R. Biden,57
Cherokee,Donald J. Trump,175
Cherokee,Jo Jorgensen,1
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,65
Cherokee,Donald J. Trump,290
Cherokee,Jo Jorgensen,6
Cherokee,Joseph R. Biden,74
Cherokee,Donald J. Trump,181
Cherokee,Jo Jorgensen,6
Cherokee,Joseph R. Biden,50
Cherokee,Donald J. Trump,161
Cherokee,Jo Jorgensen,6
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,107
Cherokee,Donald J. Trump,285
Cherokee,Jo Jorgensen,9
Cherokee,Joseph R. Biden,40
Cherokee,Donald J. Trump,139
Cherokee,Jo Jorgensen,8
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,253
Cherokee,Donald J. Trump,748
Cherokee,Jo Jorgensen,15
Cherokee,Joseph R. Biden,62
Cherokee,Donald J. Trump,243
Cherokee,Jo Jorgensen,3
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,33
Cherokee,Donald J. Trump,116
Cherokee,Jo Jorgensen,1
Cherokee,Joseph R. Biden,50
Cherokee,Donald J. Trump,280
Cherokee,Jo Jorgensen,2
Cherokee,Joseph R. Biden,21
Cherokee,Donald J. Trump,87
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,9
Cherokee,Donald J. Trump,37
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,14
Cherokee,Donald J. Trump,68
Cherokee,Jo Jorgensen,1
Cherokee,Joseph R. Biden,62
Cherokee,Donald J. Trump,257
Cherokee,Jo Jorgensen,5
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,18
Cherokee,Donald J. Trump,83
Cherokee,Jo Jorgensen,1
Cherokee,Joseph R. Biden,43
Cherokee,Donald J. Trump,80
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,39
Cherokee,Donald J. Trump,82
Cherokee,Jo Jorgensen,1
Cherokee,Joseph R. Biden,58
Cherokee,Donald J. Trump,255
Cherokee,Jo Jorgensen,5
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,19
Cherokee,Donald J. Trump,35
Cherokee,Jo Jorgensen,1
Cherokee,Joseph R. Biden,13
Cherokee,Donald J. Trump,50
Cherokee,Jo Jorgensen,5
Cherokee,Joseph R. Biden,18
Cherokee,Donald J. Trump,53
Cherokee,Jo Jorgensen,5
Cherokee,Joseph R. Biden,47
Cherokee,Donald J. Trump,211
Cherokee,Jo Jorgensen,3
Cherokee,Joseph R. Biden,19
Cherokee,Donald J. Trump,101
Cherokee,Jo Jorgensen,1
Cherokee,Joseph R. Biden,77
Cherokee,Donald J. Trump,264
Cherokee,Jo Jorgensen,5
Cherokee,Joseph R. Biden,44
Cherokee,Donald J. Trump,173
Cherokee,Jo Jorgensen,2
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,0
Cherokee,Donald J. Trump,0
Cherokee,Jo Jorgensen,0
Cherokee,Joseph R. Biden,27
Cherokee,Donald J. Trump,154
Cherokee,Jo Jorgensen,2
Cherokee,Joseph R. Biden,98
Cherokee,Donald J. Trump,148
Cherokee,Jo Jorgensen,10
Cheyenne,Joseph R. Biden,4
Cheyenne,Donald J. Trump,25
Cheyenne,Jo Jorgensen,0
Cheyenne,Joseph R. Biden,60
Cheyenne,Donald J. Trump,248
Cheyenne,Jo Jorgensen,7
Cheyenne,Joseph R. Biden,0
Cheyenne,Donald J. Trump,29
Cheyenne,Jo Jorgensen,0
Cheyenne,Joseph R. Biden,3
Cheyenne,Donald J. Trump,30
Cheyenne,Jo Jorgensen,0
Cheyenne,Joseph R. Biden,0
Cheyenne,Donald J. Trump,13
Cheyenne,Jo Jorgensen,0
Cheyenne,Joseph R. Biden,1
Cheyenne,Donald J. Trump,35
Cheyenne,Jo Jorgensen,0
Cheyenne,Joseph R. Biden,60
Cheyenne,Donald J. Trump,337
Cheyenne,Jo Jorgensen,4
Cheyenne,Joseph R. Biden,96
Cheyenne,Donald J. Trump,466
Cheyenne,Jo Jorgensen,11
Clark,Joseph R. Biden,59
Clark,Donald J. Trump,361
Clark,Jo Jorgensen,10
Clark,Joseph R. Biden,44
Clark,Donald J. Trump,229
Clark,Jo Jorgensen,3
Clark,Joseph R. Biden,21
Clark,Donald J. Trump,193
Clark,Jo Jorgensen,1
Clark,Joseph R. Biden,12
Clark,Donald J. Trump,53
Clark,Jo Jorgensen,5
Clark,Joseph R. Biden,0
Clark,Donald J. Trump,22
Clark,Jo Jorgensen,0
Clark,Joseph R. Biden,1
Clark,Donald J. Trump,16
Clark,Jo Jorgensen,1
Clark,Joseph R. Biden,6
Clark,Donald J. Trump,30
Clark,Jo Jorgensen,0
Clay,Joseph R. Biden,1
Clay,Donald J. Trump,67
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,20
Clay,Donald J. Trump,125
Clay,Jo Jorgensen,1
Clay,Joseph R. Biden,9
Clay,Donald J. Trump,70
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,19
Clay,Donald J. Trump,60
Clay,Jo Jorgensen,5
Clay,Joseph R. Biden,40
Clay,Donald J. Trump,176
Clay,Jo Jorgensen,7
Clay,Joseph R. Biden,0
Clay,Donald J. Trump,0
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,167
Clay,Donald J. Trump,410
Clay,Jo Jorgensen,24
Clay,Joseph R. Biden,0
Clay,Donald J. Trump,0
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,161
Clay,Donald J. Trump,453
Clay,Jo Jorgensen,14
Clay,Joseph R. Biden,93
Clay,Donald J. Trump,322
Clay,Jo Jorgensen,12
Clay,Joseph R. Biden,105
Clay,Donald J. Trump,252
Clay,Jo Jorgensen,10
Clay,Joseph R. Biden,6
Clay,Donald J. Trump,45
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,13
Clay,Donald J. Trump,57
Clay,Jo Jorgensen,3
Clay,Joseph R. Biden,8
Clay,Donald J. Trump,47
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,15
Clay,Donald J. Trump,68
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,9
Clay,Donald J. Trump,22
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,18
Clay,Donald J. Trump,90
Clay,Jo Jorgensen,3
Clay,Joseph R. Biden,16
Clay,Donald J. Trump,103
Clay,Jo Jorgensen,2
Clay,Joseph R. Biden,32
Clay,Donald J. Trump,128
Clay,Jo Jorgensen,4
Clay,Joseph R. Biden,15
Clay,Donald J. Trump,107
Clay,Jo Jorgensen,4
Clay,Joseph R. Biden,13
Clay,Donald J. Trump,42
Clay,Jo Jorgensen,0
Clay,Joseph R. Biden,93
Clay,Donald J. Trump,355
Clay,Jo Jorgensen,16
Clay,Joseph R. Biden,30
Clay,Donald J. Trump,100
Clay,Jo Jorgensen,4
Clay,Joseph R. Biden,11
Clay,Donald J. Trump,78
Clay,Jo Jorgensen,2
Clay,Joseph R. Biden,0
Clay,Donald J. Trump,0
Clay,Jo Jorgensen,0
Cloud,Joseph R. Biden,17
Cloud,Donald J. Trump,46
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,7
Cloud,Donald J. Trump,64
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,9
Cloud,Donald J. Trump,48
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,13
Cloud,Donald J. Trump,114
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,2
Cloud,Donald J. Trump,20
Cloud,Jo Jorgensen,0
Cloud,Joseph R. Biden,105
Cloud,Donald J. Trump,218
Cloud,Jo Jorgensen,11
Cloud,Joseph R. Biden,0
Cloud,Donald J. Trump,0
Cloud,Jo Jorgensen,0
Cloud,Joseph R. Biden,141
Cloud,Donald J. Trump,345
Cloud,Jo Jorgensen,14
Cloud,Joseph R. Biden,137
Cloud,Donald J. Trump,259
Cloud,Jo Jorgensen,7
Cloud,Joseph R. Biden,0
Cloud,Donald J. Trump,0
Cloud,Jo Jorgensen,0
Cloud,Joseph R. Biden,165
Cloud,Donald J. Trump,476
Cloud,Jo Jorgensen,16
Cloud,Joseph R. Biden,58
Cloud,Donald J. Trump,215
Cloud,Jo Jorgensen,10
Cloud,Joseph R. Biden,15
Cloud,Donald J. Trump,120
Cloud,Jo Jorgensen,3
Cloud,Joseph R. Biden,0
Cloud,Donald J. Trump,0
Cloud,Jo Jorgensen,0
Cloud,Joseph R. Biden,4
Cloud,Donald J. Trump,16
Cloud,Jo Jorgensen,2
Cloud,Joseph R. Biden,80
Cloud,Donald J. Trump,303
Cloud,Jo Jorgensen,10
Cloud,Joseph R. Biden,17
Cloud,Donald J. Trump,130
Cloud,Jo Jorgensen,2
Cloud,Joseph R. Biden,6
Cloud,Donald J. Trump,52
Cloud,Jo Jorgensen,3
Cloud,Joseph R. Biden,10
Cloud,Donald J. Trump,59
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,3
Cloud,Donald J. Trump,33
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,1
Cloud,Donald J. Trump,25
Cloud,Jo Jorgensen,0
Cloud,Joseph R. Biden,9
Cloud,Donald J. Trump,69
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,13
Cloud,Donald J. Trump,86
Cloud,Jo Jorgensen,4
Cloud,Joseph R. Biden,41
Cloud,Donald J. Trump,198
Cloud,Jo Jorgensen,3
Cloud,Joseph R. Biden,9
Cloud,Donald J. Trump,30
Cloud,Jo Jorgensen,1
Cloud,Joseph R. Biden,34
Cloud,Donald J. Trump,203
Cloud,Jo Jorgensen,6
Cloud,Joseph R. Biden,2
Cloud,Donald J. Trump,26
Cloud,Jo Jorgensen,0
Cloud,Joseph R. Biden,18
Cloud,Donald J. Trump,72
Cloud,Jo Jorgensen,2
Cloud,Joseph R. Biden,4
Cloud,Donald J. Trump,15
Cloud,Jo Jorgensen,0
Coffey,Joseph R. Biden,16
Coffey,Donald J. Trump,80
Coffey,Jo Jorgensen,2
Coffey,Joseph R. Biden,31
Coffey,Donald J. Trump,198
Coffey,Jo Jorgensen,4
Coffey,Joseph R. Biden,119
Coffey,Donald J. Trump,299
Coffey,Jo Jorgensen,16
Coffey,Joseph R. Biden,81
Coffey,Donald J. Trump,302
Coffey,Jo Jorgensen,11
Coffey,Joseph R. Biden,0
Coffey,Donald J. Trump,0
Coffey,Jo Jorgensen,0
Coffey,Joseph R. Biden,102
Coffey,Donald J. Trump,352
Coffey,Jo Jorgensen,15
Coffey,Joseph R. Biden,0
Coffey,Donald J. Trump,0
Coffey,Jo Jorgensen,0
Coffey,Joseph R. Biden,0
Coffey,Donald J. Trump,0
Coffey,Jo Jorgensen,0
Coffey,Joseph R. Biden,19
Coffey,Donald J. Trump,76
Coffey,Jo Jorgensen,3
Coffey,Joseph R. Biden,33
Coffey,Donald J. Trump,122
Coffey,Jo Jorgensen,5
Coffey,Joseph R. Biden,54
Coffey,Donald J. Trump,236
Coffey,Jo Jorgensen,8
Coffey,Joseph R. Biden,51
Coffey,Donald J. Trump,245
Coffey,Jo Jorgensen,9
Coffey,Joseph R. Biden,182
Coffey,Donald J. Trump,487
Coffey,Jo Jorgensen,8
Coffey,Joseph R. Biden,11
Coffey,Donald J. Trump,58
Coffey,Jo Jorgensen,0
Coffey,Joseph R. Biden,79
Coffey,Donald J. Trump,338
Coffey,Jo Jorgensen,10
Coffey,Joseph R. Biden,24
Coffey,Donald J. Trump,111
Coffey,Jo Jorgensen,1
Coffey,Joseph R. Biden,14
Coffey,Donald J. Trump,105
Coffey,Jo Jorgensen,1
Coffey,Joseph R. Biden,130
Coffey,Donald J. Trump,319
Coffey,Jo Jorgensen,18
Coffey,Joseph R. Biden,6
Coffey,Donald J. Trump,75
Coffey,Jo Jorgensen,0
Coffey,Joseph R. Biden,12
Coffey,Donald J. Trump,86
Coffey,Jo Jorgensen,1
Coffey,Joseph R. Biden,0
Coffey,Donald J. Trump,0
Coffey,Jo Jorgensen,0
Coffey,Joseph R. Biden,0
Coffey,Donald J. Trump,0
Coffey,Jo Jorgensen,0
Coffey,Joseph R. Biden,0
Coffey,Donald J. Trump,0
Coffey,Jo Jorgensen,0
Comanche,Joseph R. Biden,3
Comanche,Donald J. Trump,39
Comanche,Jo Jorgensen,1
Comanche,Joseph R. Biden,75
Comanche,Donald J. Trump,395
Comanche,Jo Jorgensen,24
Comanche,Joseph R. Biden,8
Comanche,Donald J. Trump,34
Comanche,Jo Jorgensen,2
Comanche,Joseph R. Biden,32
Comanche,Donald J. Trump,235
Comanche,Jo Jorgensen,1
Comanche,Joseph R. Biden,8
Comanche,Donald J. Trump,59
Comanche,Jo Jorgensen,0
Cowley,Joseph R. Biden,49
Cowley,Donald J. Trump,108
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,3
Cowley,Donald J. Trump,17
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,58
Cowley,Donald J. Trump,128
Cowley,Jo Jorgensen,6
Cowley,Joseph R. Biden,97
Cowley,Donald J. Trump,215
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,96
Cowley,Donald J. Trump,141
Cowley,Jo Jorgensen,10
Cowley,Joseph R. Biden,97
Cowley,Donald J. Trump,246
Cowley,Jo Jorgensen,10
Cowley,Joseph R. Biden,52
Cowley,Donald J. Trump,113
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,43
Cowley,Donald J. Trump,63
Cowley,Jo Jorgensen,3
Cowley,Joseph R. Biden,13
Cowley,Donald J. Trump,22
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,16
Cowley,Donald J. Trump,40
Cowley,Jo Jorgensen,1
Cowley,Joseph R. Biden,22
Cowley,Donald J. Trump,62
Cowley,Jo Jorgensen,4
Cowley,Joseph R. Biden,49
Cowley,Donald J. Trump,107
Cowley,Jo Jorgensen,6
Cowley,Joseph R. Biden,44
Cowley,Donald J. Trump,76
Cowley,Jo Jorgensen,4
Cowley,Joseph R. Biden,139
Cowley,Donald J. Trump,139
Cowley,Jo Jorgensen,9
Cowley,Joseph R. Biden,250
Cowley,Donald J. Trump,417
Cowley,Jo Jorgensen,11
Cowley,Joseph R. Biden,112
Cowley,Donald J. Trump,159
Cowley,Jo Jorgensen,6
Cowley,Joseph R. Biden,197
Cowley,Donald J. Trump,295
Cowley,Jo Jorgensen,7
Cowley,Joseph R. Biden,30
Cowley,Donald J. Trump,78
Cowley,Jo Jorgensen,4
Cowley,Joseph R. Biden,2
Cowley,Donald J. Trump,13
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,34
Cowley,Donald J. Trump,179
Cowley,Jo Jorgensen,2
Cowley,Joseph R. Biden,164
Cowley,Donald J. Trump,535
Cowley,Jo Jorgensen,14
Cowley,Joseph R. Biden,29
Cowley,Donald J. Trump,99
Cowley,Jo Jorgensen,1
Cowley,Joseph R. Biden,5
Cowley,Donald J. Trump,45
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,8
Cowley,Donald J. Trump,52
Cowley,Jo Jorgensen,1
Cowley,Joseph R. Biden,13
Cowley,Donald J. Trump,80
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,76
Cowley,Donald J. Trump,361
Cowley,Jo Jorgensen,11
Cowley,Joseph R. Biden,114
Cowley,Donald J. Trump,371
Cowley,Jo Jorgensen,13
Cowley,Joseph R. Biden,12
Cowley,Donald J. Trump,117
Cowley,Jo Jorgensen,1
Cowley,Joseph R. Biden,5
Cowley,Donald J. Trump,16
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,105
Cowley,Donald J. Trump,341
Cowley,Jo Jorgensen,9
Cowley,Joseph R. Biden,18
Cowley,Donald J. Trump,86
Cowley,Jo Jorgensen,1
Cowley,Joseph R. Biden,34
Cowley,Donald J. Trump,94
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,36
Cowley,Donald J. Trump,142
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,16
Cowley,Donald J. Trump,72
Cowley,Jo Jorgensen,1
Cowley,Joseph R. Biden,48
Cowley,Donald J. Trump,274
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,22
Cowley,Donald J. Trump,154
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,8
Cowley,Donald J. Trump,29
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,42
Cowley,Donald J. Trump,140
Cowley,Jo Jorgensen,3
Cowley,Joseph R. Biden,51
Cowley,Donald J. Trump,208
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,97
Cowley,Donald J. Trump,292
Cowley,Jo Jorgensen,4
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,69
Cowley,Donald J. Trump,253
Cowley,Jo Jorgensen,6
Cowley,Joseph R. Biden,14
Cowley,Donald J. Trump,72
Cowley,Jo Jorgensen,3
Cowley,Joseph R. Biden,143
Cowley,Donald J. Trump,194
Cowley,Jo Jorgensen,8
Cowley,Joseph R. Biden,80
Cowley,Donald J. Trump,113
Cowley,Jo Jorgensen,6
Cowley,Joseph R. Biden,104
Cowley,Donald J. Trump,172
Cowley,Jo Jorgensen,9
Cowley,Joseph R. Biden,134
Cowley,Donald J. Trump,185
Cowley,Jo Jorgensen,9
Cowley,Joseph R. Biden,144
Cowley,Donald J. Trump,267
Cowley,Jo Jorgensen,8
Cowley,Joseph R. Biden,108
Cowley,Donald J. Trump,141
Cowley,Jo Jorgensen,3
Cowley,Joseph R. Biden,142
Cowley,Donald J. Trump,240
Cowley,Jo Jorgensen,8
Cowley,Joseph R. Biden,42
Cowley,Donald J. Trump,69
Cowley,Jo Jorgensen,2
Cowley,Joseph R. Biden,12
Cowley,Donald J. Trump,22
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,42
Cowley,Donald J. Trump,91
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,246
Cowley,Donald J. Trump,294
Cowley,Jo Jorgensen,18
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,104
Cowley,Donald J. Trump,129
Cowley,Jo Jorgensen,5
Cowley,Joseph R. Biden,227
Cowley,Donald J. Trump,319
Cowley,Jo Jorgensen,20
Cowley,Joseph R. Biden,95
Cowley,Donald J. Trump,129
Cowley,Jo Jorgensen,3
Cowley,Joseph R. Biden,138
Cowley,Donald J. Trump,209
Cowley,Jo Jorgensen,9
Cowley,Joseph R. Biden,121
Cowley,Donald J. Trump,629
Cowley,Jo Jorgensen,8
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,0
Cowley,Donald J. Trump,0
Cowley,Jo Jorgensen,0
Cowley,Joseph R. Biden,2
Cowley,Donald J. Trump,2
Cowley,Jo Jorgensen,0
Crawford,Joseph R. Biden,39
Crawford,Donald J. Trump,109
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,182
Crawford,Donald J. Trump,354
Crawford,Jo Jorgensen,12
Crawford,Joseph R. Biden,40
Crawford,Donald J. Trump,104
Crawford,Jo Jorgensen,6
Crawford,Joseph R. Biden,19
Crawford,Donald J. Trump,37
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,7
Crawford,Donald J. Trump,34
Crawford,Jo Jorgensen,0
Crawford,Joseph R. Biden,78
Crawford,Donald J. Trump,183
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,66
Crawford,Donald J. Trump,170
Crawford,Jo Jorgensen,8
Crawford,Joseph R. Biden,91
Crawford,Donald J. Trump,234
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,56
Crawford,Donald J. Trump,205
Crawford,Jo Jorgensen,3
Crawford,Joseph R. Biden,43
Crawford,Donald J. Trump,66
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,212
Crawford,Donald J. Trump,280
Crawford,Jo Jorgensen,6
Crawford,Joseph R. Biden,310
Crawford,Donald J. Trump,371
Crawford,Jo Jorgensen,7
Crawford,Joseph R. Biden,91
Crawford,Donald J. Trump,169
Crawford,Jo Jorgensen,12
Crawford,Joseph R. Biden,0
Crawford,Donald J. Trump,0
Crawford,Jo Jorgensen,0
Crawford,Joseph R. Biden,107
Crawford,Donald J. Trump,135
Crawford,Jo Jorgensen,5
Crawford,Joseph R. Biden,40
Crawford,Donald J. Trump,92
Crawford,Jo Jorgensen,2
Crawford,Joseph R. Biden,108
Crawford,Donald J. Trump,266
Crawford,Jo Jorgensen,7
Crawford,Joseph R. Biden,93
Crawford,Donald J. Trump,151
Crawford,Jo Jorgensen,2
Crawford,Joseph R. Biden,0
Crawford,Donald J. Trump,0
Crawford,Jo Jorgensen,0
Crawford,Joseph R. Biden,87
Crawford,Donald J. Trump,247
Crawford,Jo Jorgensen,8
Crawford,Joseph R. Biden,28
Crawford,Donald J. Trump,98
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,6
Crawford,Donald J. Trump,34
Crawford,Jo Jorgensen,1
Crawford,Joseph R. Biden,50
Crawford,Donald J. Trump,135
Crawford,Jo Jorgensen,3
Crawford,Joseph R. Biden,205
Crawford,Donald J. Trump,384
Crawford,Jo Jorgensen,14
Crawford,Joseph R. Biden,56
Crawford,Donald J. Trump,128
Crawford,Jo Jorgensen,5
Crawford,Joseph R. Biden,24
Crawford,Donald J. Trump,46
Crawford,Jo Jorgensen,3
Crawford,Joseph R. Biden,37
Crawford,Donald J. Trump,55
Crawford,Jo Jorgensen,2
Crawford,Joseph R. Biden,125
Crawford,Donald J. Trump,227
Crawford,Jo Jorgensen,13
Crawford,Joseph R. Biden,70
Crawford,Donald J. Trump,117
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,98
Crawford,Donald J. Trump,207
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,168
Crawford,Donald J. Trump,207
Crawford,Jo Jorgensen,11
Crawford,Joseph R. Biden,248
Crawford,Donald J. Trump,294
Crawford,Jo Jorgensen,19
Crawford,Joseph R. Biden,661
Crawford,Donald J. Trump,741
Crawford,Jo Jorgensen,38
Crawford,Joseph R. Biden,108
Crawford,Donald J. Trump,113
Crawford,Jo Jorgensen,15
Crawford,Joseph R. Biden,150
Crawford,Donald J. Trump,156
Crawford,Jo Jorgensen,12
Crawford,Joseph R. Biden,188
Crawford,Donald J. Trump,209
Crawford,Jo Jorgensen,11
Crawford,Joseph R. Biden,153
Crawford,Donald J. Trump,178
Crawford,Jo Jorgensen,9
Crawford,Joseph R. Biden,253
Crawford,Donald J. Trump,242
Crawford,Jo Jorgensen,15
Crawford,Joseph R. Biden,167
Crawford,Donald J. Trump,167
Crawford,Jo Jorgensen,10
Crawford,Joseph R. Biden,191
Crawford,Donald J. Trump,249
Crawford,Jo Jorgensen,13
Crawford,Joseph R. Biden,68
Crawford,Donald J. Trump,58
Crawford,Jo Jorgensen,6
Crawford,Joseph R. Biden,146
Crawford,Donald J. Trump,146
Crawford,Jo Jorgensen,13
Crawford,Joseph R. Biden,218
Crawford,Donald J. Trump,283
Crawford,Jo Jorgensen,15
Crawford,Joseph R. Biden,126
Crawford,Donald J. Trump,163
Crawford,Jo Jorgensen,5
Crawford,Joseph R. Biden,295
Crawford,Donald J. Trump,404
Crawford,Jo Jorgensen,26
Crawford,Joseph R. Biden,32
Crawford,Donald J. Trump,94
Crawford,Jo Jorgensen,2
Crawford,Joseph R. Biden,97
Crawford,Donald J. Trump,282
Crawford,Jo Jorgensen,8
Crawford,Joseph R. Biden,19
Crawford,Donald J. Trump,56
Crawford,Jo Jorgensen,4
Crawford,Joseph R. Biden,82
Crawford,Donald J. Trump,223
