county,Office,candidate,Party,votes,State Total
Jasper,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,30,8026
Jeff Davis,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,16,8026
Jefferson,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,14,8026
Jones,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,169,8026
Kemper,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,10,8026
Lafayette,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,242,8026
Lamar,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,264,8026
Lauderdale,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,149,8026
Lawrence,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,19,8026
Leake,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,19,8026
Lee,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,292,8026
Leflore,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,31,8026
Lincoln,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,64,8026
Lowndes,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,182,8026
Madison,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,351,8026
Marion,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,44,8026
Marshall,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,48,8026
Monroe,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,93,8026
Montgomery,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,9,8026
Neshoba,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,46,8026
Newton,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,47,8026
Noxubee,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,13,8026
Oktibbeha,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,255,8026
Panola,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,48,8026
Pearl River,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,160,8026
Perry,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,21,8026
Pike,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,91,8026
Pontotoc,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,103,8026
Prentiss,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,70,8026
Quitman,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,12,8026
Rankin,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,555,8026
Scott,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,38,8026
Sharkey,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,9,8026
Simpson,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,49,8026
Smith,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,33,8026
Stone,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,57,8026
Sunflower,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,18,8026
Tallahatchie,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,20,8026
Tate,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,84,8026
Tippah,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,43,8026
Tishomingo,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,97,8026
Tunica,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,9,8026
Union,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,81,8026
Walthall,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,19,8026
Warren,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,93,8026
Washington,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,53,8026
Wayne,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,45,8026
Webster,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,27,8026
Wilkinson,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,12,8026
Winston,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,41,8026
Yalobusha,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,26,8026
Yazoo,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,21,8026
Adams,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Alcorn,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Amite,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Attala,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Benton,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Bolivar,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Calhoun,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Carroll,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Chickasaw,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Choctaw,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Claiborne,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Clarke,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Clay,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,8,659
Coahoma,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Copiah,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Covington,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
DeSoto,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,119,659
Forrest,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Franklin,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
George,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Greene,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Grenada,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Hancock,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,11,659
Harrison,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,30,659
Hinds,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,60,659
Holmes,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Humphreys,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Issaquena,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,0,659
Itawamba,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Jackson,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,37,659
Jasper,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Jeff Davis,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Jefferson,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Jones,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,9,659
Kemper,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Lafayette,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,8,659
Lamar,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,10,659
Lauderdale,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Lawrence,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Leake,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Lee,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,12,659
Leflore,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Lincoln,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,7,659
Lowndes,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,9,659
Madison,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Marion,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Marshall,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,11,659
Monroe,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Montgomery,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Neshoba,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Newton,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Noxubee,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Oktibbeha,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Panola,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,11,659
Pearl River,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,13,659
Perry,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Pike,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Pontotoc,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Prentiss,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Quitman,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Rankin,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,12,659
Scott,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Sharkey,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,0,659
Simpson,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Smith,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Stone,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Sunflower,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Tallahatchie,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Tate,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,7,659
Tippah,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Tishomingo,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Tunica,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Union,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Walthall,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Warren,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,8,659
Washington,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,10,659
Wayne,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Webster,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Wilkinson,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
Winston,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Yalobusha,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Yazoo,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,11,659
Adams,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,54,3657
Alcorn,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,32,3657
Amite,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,17,3657
Attala,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,22,3657
Benton,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,6,3657
Bolivar,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,62,3657
Calhoun,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,17,3657
Carroll,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,12,3657
Chickasaw,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,37,3657
Choctaw,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,6,3657
Claiborne,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,23,3657
Clarke,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,20,3657
Clay,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,35,3657
Coahoma,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,39,3657
Copiah,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,40,3657
Covington,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,27,3657
DeSoto,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,219,3657
Forrest,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,119,3657
Franklin,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,14,3657
George,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,21,3657
Greene,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,10,3657
Grenada,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,18,3657
Hancock,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,43,3657
Harrison,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,182,3657
Hinds,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,422,3657
Holmes,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,46,3657
Humphreys,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,20,3657
Issaquena,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,1,3657
Itawamba,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,15,3657
Jackson,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,125,3657
Jasper,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,22,3657
Jeff Davis,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,29,3657
Jefferson,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,18,3657
Jones,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,69,3657
Kemper,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,9,3657
Lafayette,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,55,3657
Lamar,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,66,3657
Lauderdale,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,67,3657
Lawrence,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,19,3657
Leake,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,23,3657
Lee,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,116,3657
Leflore,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,39,3657
Lincoln,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,31,3657
Lowndes,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,71,3657
Madison,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,140,3657
Marion,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,29,3657
Marshall,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,51,3657
Monroe,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,39,3657
Montgomery,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,11,3657
Neshoba,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,34,3657
Newton,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,28,3657
Noxubee,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,15,3657
Oktibbeha,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,61,3657
Panola,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,49,3657
Pearl River,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,42,3657
Perry,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,9,3657
Pike,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,43,3657
Pontotoc,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,30,3657
Prentiss,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,20,3657
Quitman,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,12,3657
Rankin,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,135,3657
Scott,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,24,3657
Sharkey,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,8,3657
Simpson,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,30,3657
Smith,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,13,3657
Stone,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,12,3657
Sunflower,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,37,3657
Tallahatchie,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,22,3657
Tate,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,56,3657
Tippah,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,25,3657
Tishomingo,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,15,3657
Tunica,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,27,3657
Union,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,28,3657
Walthall,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,16,3657
Warren,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,46,3657
Washington,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,71,3657
Wayne,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,37,3657
Webster,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,16,3657
Wilkinson,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,7,3657
Winston,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,26,3657
Yalobusha,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,22,3657
Yazoo,United States-President,Presidential Electors for Kanye West for President and Michelle Tidball for Vice President,Independent,33,3657
