"COCONINO COUNTY
GENERAL ELECTION
NOVEMBER 3, 2020
SUMMARY OF FINAL RESULTS";;TOTAL;FLAGSTAFF 1;FLAGSTAFF 2;FLAGSTAFF 3;FLAGSTAFF 4;FLAGSTAFF 5;FLAGSTAFF 6;FLAGSTAFF 7;FLAGSTAFF 8;FLAGSTAFF 9;FLAGSTAFF 10;FLAGSTAFF 11;FLAGSTAFF 12;FLAGSTAFF 13;FLAGSTAFF 14;FLAGSTAFF 15;FLAGSTAFF 16;FLAGSTAFF 17;FLAGSTAFF 18;FLAGSTAFF 19;FLAGSTAFF 20;FLAGSTAFF 21;FLAGSTAFF 22;FLAGSTAFF 23;FLAGSTAFF 24;FLAGSTAFF 25;FLAGSTAFF 26;BELLEMONT 40;BLUE RIDGE 41;BODAWAY 42;CAMERON 43;COPPERMINE 47;COALMINE 48;DONEY PARK 50;SCHULTZ 51;TIMBERLINE FERNWOOD 52;FOREST LAKES 53;FORT VALLEY EAST 55;FORT VALLEY WEST 56;FREDONIA 58;GRAND CANYON 59;HAVASUPAI 60;INSCRIPTION HOUSE 61;PUMPHOUSE WASH 62;MORMON LAKE 63;KAIBAB NORTH 64;KAIBETO 65;KAIBAB WEST 66;LECHEE 67;LEUPP 69;MOENKOPI 70;NAVAJO MOUNTAIN 71;PAGE CENTRAL 72;PAGE EAST 73;PAGE SOUTH 74;PAGE WEST 75;PARKS 79;PINEWOOD 80;SEDONA NORTH 82;SEDONA SOUTH 83;RANCHES 84;SUNSET CRATER 85;MOUNTAIN VIEW 86;TOLANI LAKE 88;TONALEA 90;WINONA 92;TUBA CITY NORTHEAST 93;TUBA CITY NORTHWEST 94;TUBA CITY SOUTH 95;TUSAYAN 97;WILLIAMS NORTHSIDE 98;WILLIAMS SOUTHSIDE 99
SUPREME COURT JUSTICE RETENTION - BRUTINEL, ROBERT;OVER VOTES;12;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
SUPREME COURT JUSTICE RETENTION - BRUTINEL, ROBERT;UNDER VOTES;15451;390;305;228;378;504;461;332;194;312;46;163;251;67;268;460;389;120;121;378;126;512;641;298;583;430;182;154;155;74;57;42;13;447;19;417;40;107;184;146;120;9;39;720;56;3;74;101;79;116;20;11;166;165;119;215;269;263;212;337;127;403;79;32;92;385;70;63;233;141;510;228
SUPREME COURT JUSTICE RETENTION - GOULD, ANDREW W.;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
SUPREME COURT JUSTICE RETENTION - GOULD, ANDREW W.;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
SUPREME COURT JUSTICE RETENTION - GOULD, ANDREW W.;YES;38449;634;519;332;699;1018;827;601;385;772;77;397;427;140;575;1176;918;343;370;861;235;991;1377;734;1365;886;534;337;330;436;514;254;133;1006;39;912;86;142;352;364;327;30;327;1343;90;14;602;359;450;663;199;61;490;521;374;526;542;445;387;705;266;917;126;208;891;838;541;406;1706;319;1232;446
SUPREME COURT JUSTICE RETENTION - GOULD, ANDREW W.;NO;19162;529;459;381;431;472;506;371;245;568;58;292;365;100;366;694;429;153;189;404;181;544;691;479;609;482;267;141;124;239;238;118;67;366;15;335;25;71;147;91;220;24;98;761;33;1;295;114;221;270;73;26;167;160;143;216;202;171;194;367;97;369;35;77;428;349;194;200;746;134;360;175
SUPREME COURT JUSTICE RETENTION - GOULD, ANDREW W.;OVER VOTES;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
SUPREME COURT JUSTICE RETENTION - GOULD, ANDREW W.;UNDER VOTES;16108;397;306;236;395;526;473;346;194;316;46;168;261;66;277;475;414;123;122;398;128;521;649;305;618;444;197;160;161;87;64;54;14;454;23;431;42;108;190;157;122;9;50;740;61;4;87;109;81;134;23;12;173;169;118;224;279;280;220;360;131;421;85;34;113;398;75;65;265;152;538;230
SUPREME COURT JUSTICE RETENTION - LOPEZ IV, JOHN;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
SUPREME COURT JUSTICE RETENTION - LOPEZ IV, JOHN;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
SUPREME COURT JUSTICE RETENTION - LOPEZ IV, JOHN;YES;40549;686;572;373;747;1091;935;670;412;849;80;441;469;159;616;1289;967;376;404;896;270;1064;1476;791;1433;941;564;359;341;458;547;258;134;1053;38;934;84;152;364;364;368;35;320;1438;90;14;621;356;458;685;213;58;502;527;386;544;553;450;395;730;279;949;133;208;923;850;559;426;1790;338;1232;462
SUPREME COURT JUSTICE RETENTION - LOPEZ IV, JOHN;NO;17107;478;400;342;385;400;395;307;216;494;55;254;330;81;331;595;382;122;160;360;146;469;588;420;526;424;244;123;115;222;202;113;63;319;17;310;27;64;128;89;176;15;106;667;35;2;285;114;211;255;55;27;148;154;131;195;188;172;187;342;78;342;34;78;397;334;177;179;691;123;352;161
SUPREME COURT JUSTICE RETENTION - LOPEZ IV, JOHN;OVER VOTES;17;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;1;0
SUPREME COURT JUSTICE RETENTION - LOPEZ IV, JOHN;UNDER VOTES;16053;396;312;234;394;523;476;341;196;313;46;162;254;66;271;460;412;121;117;406;128;523;653;307;633;448;190;155;159;82;67;55;17;453;21;433;42;105;197;159;125;13;49;738;59;3;78;112;83;127;28;14;180;169;118;227;282;274;219;358;137;416;79;33;111;401;74;66;236;144;545;228
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CAMPBELL, JENNIFER B.;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CAMPBELL, JENNIFER B.;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CAMPBELL, JENNIFER B.;YES;41791;777;634;445;825;1120;924;692;472;923;96;467;555;174;665;1325;995;383;409;915;302;1111;1476;849;1455;979;588;368;313;469;562;289;143;1019;43;904;84;159;383;357;361;38;327;1502;89;13;638;353;488;719;207;67;534;537;364;550;532;452;418;745;276;913;124;214;964;876;567;442;1853;325;1203;451
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CAMPBELL, JENNIFER B.;NO;15360;354;327;256;291;349;392;267;147;407;34;218;229;62;263;521;326;112;144;339;113;389;574;357;496;370;216;103;141;211;190;91;58;347;12;320;26;52;101;94;179;15;105;574;34;3;259;120;181;221;67;19;128;143;142;193;200;168;157;324;74;357;40;70;368;291;178;163;624;127;374;163
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CAMPBELL, JENNIFER B.;OVER VOTES;9;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CAMPBELL, JENNIFER B.;UNDER VOTES;16566;429;323;248;410;547;489;359;204;325;51;172;269;70;290;500;439;124;128;408;129;556;667;311;641;464;194;167;161;82;64;46;13;460;22;454;43;110;205;161;129;10;43;768;61;3;87;109;83;127;22;13;168;170;129;223;291;276;226;363;144;437;82;35;100;418;65;66;241;153;553;236
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CRUZ, MARIA ELENA;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CRUZ, MARIA ELENA;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CRUZ, MARIA ELENA;YES;44908;933;779;567;965;1259;1043;779;535;1088;106;536;647;202;758;1482;1133;403;448;963;350;1233;1652;948;1557;1111;627;368;303;475;564;278;146;1050;40;929;77;182;407;346;412;36;338;1637;89;11;663;339;486;731;230;57;514;517;380;555;504;460;461;845;289;964;131;209;982;888;606;466;1895;327;1156;461
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CRUZ, MARIA ELENA;NO;11920;198;176;133;150;223;282;180;83;252;23;146;137;33;168;362;193;84;99;284;61;270;388;249;374;235;175;101;140;198;182;94;52;297;13;281;29;32;80;104;129;15;90;432;32;4;233;128;169;192;38;27;139;155;129;185;226;155;116;222;58;297;30;70;335;260;131;136;566;121;390;149
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CRUZ, MARIA ELENA;OVER VOTES;13;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0
COURT OF APPEALS - DIVISION I JUDGE RETENTION - CRUZ, MARIA ELENA;UNDER VOTES;16885;429;329;248;411;534;481;359;205;316;52;175;269;71;292;501;434;132;134;415;133;553;676;321;661;467;196;168;172;89;70;54;16;478;24;468;47;107;202;162;128;12;47;775;63;4;88;115;97;144;28;15;177;177;126;226;293;281;224;365;147;445;85;40;115;437;73;68;257;157;584;241
SUPERIOR COURT JUDGE RETENTION - BROWN NICHOLS, CATHLEEN;REGISTERED VOTERS;90669;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;690;1093;1051;590;311;2079;89;1863;174;351;742;800;853;152;668;3228;222;21;1465;719;1108;1481;493;135;1114;999;910;1203;1153;1034;900;1560;558;1930;284;435;2003;1881;1187;951;4031;789;2435;1009
SUPERIOR COURT JUDGE RETENTION - BROWN NICHOLS, CATHLEEN;BALLOTS CAST;73726;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;615;762;816;426;214;1826;77;1678;153;321;689;612;669;63;475;2844;184;19;984;582;752;1067;296;99;830;850;635;966;1023;896;801;1432;494;1707;246;319;1432;1585;810;671;2718;606;2130;851
SUPERIOR COURT JUDGE RETENTION - BROWN NICHOLS, CATHLEEN;YES;45452;952;806;576;1019;1288;1027;791;541;1063;103;528;641;199;764;1478;1152;415;423;1032;348;1264;1644;930;1582;1131;614;382;320;478;595;280;146;1037;45;918;81;189;399;363;410;38;341;1674;104;10;663;357;495;723;228;59;527;524;382;561;536;456;452;858;281;983;129;214;1000;911;627;466;1897;338;1187;477
SUPERIOR COURT JUDGE RETENTION - BROWN NICHOLS, CATHLEEN;NO;12281;211;173;133;153;244;305;175;105;264;26;162;145;35;167;378;191;84;124;246;65;267;413;279;389;250;192;107;132;207;164;97;56;336;11;314;28;37;89;88;129;14;91;431;22;3;240;113;174;217;47;27;128;157;130;191;202;174;126;212;78;312;38;72;337;285;122;147;593;111;378;138
SUPERIOR COURT JUDGE RETENTION - BROWN NICHOLS, CATHLEEN;OVER VOTES;15;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;3;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
SUPERIOR COURT JUDGE RETENTION - BROWN NICHOLS, CATHLEEN;UNDER VOTES;15978;397;304;239;354;484;474;352;178;329;52;167;267;72;287;490;417;120;134;385;131;525;658;308;618;432;191;149;163;77;56;49;12;453;21;445;44;95;201;161;130;11;43;739;58;6;81;112;83;127;21;13;175;169;123;214;285;266;223;362;135;412;79;33;94;389;61;58;228;156;565;236
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;REGISTERED VOTERS;60401;1813;1441;1105;1654;2194;2064;1618;922;2126;297;1155;1421;572;1668;3189;2034;787;865;1871;868;2324;3051;1850;2936;2063;1307;730;220;0;22;0;0;2079;89;1863;0;351;740;0;0;0;0;3228;222;0;0;0;0;1481;0;0;0;0;0;0;161;1034;2;0;558;1930;284;331;0;1881;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;BALLOTS CAST;50702;1560;1284;949;1526;2016;1806;1318;824;1656;181;857;1053;306;1218;2346;1761;619;681;1663;544;2057;2717;1518;2592;1813;998;638;188;0;17;0;0;1826;77;1678;0;321;686;0;0;0;0;2844;184;0;0;0;0;1067;0;0;0;0;0;0;150;896;2;0;494;1707;246;233;0;1585;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;DENETSOSIE GISHIE, DOROTHY;24260;863;698;525;854;1008;795;580;454;894;82;444;530;158;557;1257;902;325;342;807;251;1033;1263;731;1201;878;461;248;64;0;4;0;0;751;24;675;0;150;258;0;0;0;0;1249;71;0;0;0;0;804;0;0;0;0;0;0;37;270;2;0;184;679;83;171;0;643;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;FREDERICKS, CHRISTINE;22775;712;638;437;734;936;836;575;395;777;90;394;442;141;606;1037;817;305;344;757;240;954;1290;648;1149;813;484;264;87;0;6;0;0;790;25;665;0;125;289;0;0;0;0;1146;81;0;0;0;0;541;0;0;0;0;0;0;43;383;0;0;199;725;93;104;0;658;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;GILMORE, CAROLE;23122;706;603;419;799;1042;820;613;395;685;62;371;400;117;537;1111;875;299;318;817;207;958;1276;671;1232;828;451;285;83;0;6;0;0;823;30;693;0;133;306;0;0;0;0;1260;76;0;0;0;0;527;0;0;0;0;0;0;56;376;2;0;202;723;101;115;0;713;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;MARKS, MAKAIUS;17291;534;500;374;608;648;599;419;339;601;60;310;447;118;469;861;698;199;246;577;241;662;939;552;820;583;348;200;37;0;3;0;0;588;23;543;0;96;187;0;0;0;0;947;52;0;0;0;0;266;0;0;0;0;0;0;28;258;2;0;147;544;71;68;0;479;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;Write-in;734;10;25;13;5;35;49;24;5;27;2;15;10;1;18;31;9;8;15;20;3;25;34;21;35;20;23;18;1;0;0;0;0;24;0;42;0;0;10;0;0;0;0;49;3;0;0;0;0;7;0;0;0;0;0;0;3;12;0;0;7;46;7;1;0;21;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;OVER VOTES;69;0;0;0;0;0;0;0;0;12;0;0;3;0;0;6;0;0;3;3;0;0;3;6;3;3;0;0;0;0;0;0;0;0;0;3;0;0;9;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF UNIFIED SCHOOL DISTRICT #1;UNDER VOTES;63855;1855;1388;1079;1578;2379;2319;1743;884;1972;247;1037;1327;383;1467;2735;1982;721;775;2008;690;2539;3346;1925;3336;2314;1227;899;292;0;32;0;0;2502;129;2413;0;459;999;0;0;0;0;3878;269;0;0;0;0;1053;0;0;0;0;0;0;283;1389;0;0;743;2398;380;240;0;2241;0;0;0;0;0;0
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;REGISTERED VOTERS;4070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;76;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;524;2435;946
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;BALLOTS CAST;3457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;61;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;407;2130;788
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;DENT, CARLA;1802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;31;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;172;1128;447
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;LUCUS, PATRICK;1081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;18;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;118;691;225
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;NIXON, HERMAN;1379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;17;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;113;884;349
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;PAYNE, LEAH;1845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;30;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;156;1140;487
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;Write-in;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;25;31;5
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;OVER VOTES;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
BOARD MEMBER WILLIAMS UNIFIED SCHOOL DISTRICT #2;UNDER VOTES;4190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;83;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;637;2510;851
BOARD MEMBER FLAGSTAFF RANCH FIRE DISTRICT;REGISTERED VOTERS;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF RANCH FIRE DISTRICT;BALLOTS CAST;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF RANCH FIRE DISTRICT;STROZIER, HARDY;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF RANCH FIRE DISTRICT;WOODINGS, ROBERT;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF RANCH FIRE DISTRICT;Write-in;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF RANCH FIRE DISTRICT;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER FLAGSTAFF RANCH FIRE DISTRICT;UNDER VOTES;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;REGISTERED VOTERS;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;BALLOTS CAST;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;SPEIRS, BRUCE;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;KRUSHINSKY, WALTER;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;Write-in;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;OVER VOTES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;UNDER VOTES;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOARD MEMBER SHERWOOD FOREST ESTATES FIRE DISTRICT;REGISTERED VOTERS;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
